MTG20140417AND11,Moto G,+ACI-16GB White, Unlocked B+ACI-
MTE20140417AND12,Moto E,+ACI-8GB Green, Unlocked B+ACI-
MTX20150417AND13,Moto X Play,+ACI-32GB Black, Unlocked B+ACI-
MTG20160417AND14,Moto G,+ACI-16GB White, Unlocked A+ACI-
MTE20160417AND15,Moto E,+ACI-8GB Black, Unlocked B+ACI-
MTX20160417AND16,Moto X Play,+ACI-32GB White, Unlocked B+ACI-
SLAPLENB407008A17,Lenovo B40+AC0-70,3558U/2GB Ram/500GB HDD
SLAPLENG504504A18,Lenovo G50+AC0-45,A6+AC0-6310/4GB Ram/500GB HDD
SAPPIPH416GWUNLB19,Apple iPhone 4 ,+ACI-16GB White, Unlocked B+ACI-
SAPPIPH432GBUNLB110,Apple iPhone 4 ,+ACI-32GB Black, Unlocked B+ACI-
SAPPIPH4S8GBUNLB111,Apple iPhone 4S ,+ACI-8GB Black, Unlocked B+ACI-
SAPPIPH564GBUNLB112,Apple iPhone 5 ,+ACI-64GB Black, Unlocked B+ACI-
SAPPI5C32GWUNLB113,Apple iPhone 5C ,+ACI-32GB White, Unlocked B+ACI-
SAPPI5C8GGUNLB114,Apple iPhone 5C ,+ACI-8GB Green, Unlocked B+ACI-
SAPPI5S16GGUNLA115,Apple iPhone 5S ,+ACI-16GB Grey, Unlocked A+ACI-
SAPPI5S16GGUNLB116,Apple iPhone 5S ,+ACI-16GB Grey, Unlocked B+ACI-
SAPPI5S16GWUNLA117,Apple iPhone 5S ,+ACI-16GB Silver, Unlocked A+ACI-
SAPPI616GGOUNLA118,Apple iPhone 6 ,+ACI-16GB Gold, Unlocked A+ACI-
SAPPI616GGRUNLB119,Apple iPhone 6 ,+ACI-16GB Grey, Unlocked B+ACI-
SAPPI6P128GGOUNLA120,Apple iPhone 6 Plus ,+ACI-128GB Gold, Unlocked A+ACI-
I8350OMIUNLB121,I8350 Ominia,+ACI-16GB White, Unlocked B+ACI-
I9300GALS3UNLB122,I9300 GALAXY S III,+ACI-32GB Black, Unlocked B+ACI-
I9100GALS2UNLB123,I9100 GALAXY S II,+ACI-8GB Black, Unlocked B+ACI-
